Site ID,Site Name,Latitude,Longitude,Elevation,Remarks,Agency Landowner,Aspect,Created Date,Area Name,Group Name,State,Status,Slope
"457","Fog Mountain #1","46.05361111111111","-115.3086111111111","1800","","USFS - US Forest Service","S","2021-08-04T05:00Z","Northern Rockies","Nez Perce-Clearwater NF","Idaho","Active","20"
"151","Burma","46.05416666666667","-84.95444444444445","400","","USFS - US Forest Service","S","2018-05-21T05:00Z","Eastern Area","Hiawatha NF","Michigan","Active","0"
"216","City of Austin-Cortana","30.371666666666666","-97.87833333333333","760","","OTHR - Other","S","2010-09-27T05:00Z","Southern","AWU","Texas","Active","0"
"217","City of Austin-Onion","30.064722222222223","-97.95055555555555","900","","S&PF - State and Private Forestry","S","2013-03-12T05:00Z","Southern","AWU","Texas","Active","0"
"218","City of Austin-Reicher","30.330555555555556","-97.93972222222223","900","","S&PF - State and Private Forestry","S","2013-03-12T05:00Z","Southern","AWU","Texas","Active","0"
"219","City of Austin-Slaughter","30.20861111111111","-97.89583333333334","890","","OTHR - Other","S","2010-09-27T05:00Z","Southern","AWU","Texas","Active","0"
"242","CNTX_Bastrop_TX","30.113611111111112","-97.26166666666667","385","","S&PF - State and Private Forestry","S","2008-08-05T05:00Z","Southern","Texas State Forestry","Texas","Active","0"
"243","CNTX_Blanco_TX","30.503333333333334","-98.41944444444445","1200","","S&PF - State and Private Forestry","","2020-09-21T05:00Z","Southern","Texas State Forestry","Texas","Active","0"
"202","Chabot","37.79361111111111","-122.14305555555556","1090","","N/A","SW","2020-07-17T05:00Z","Northern California","PGE - NOCC","California","Active","0"
"204","Chester","40.316111111111105","-121.09388888888888","4988","","S&PF - State and Private Forestry","S","2017-07-11T05:00Z","Northern California","CalFire Lassen-Modoc Unit","California","Active","10"
"206","Chiloquin","42.57694444444445","-121.8938888888889","4492","","USFS - US Forest Service","","2015-06-25T05:00Z","Northwest","NW07-LFC","Oregon","Active","0"
"1065","SCE-Shaver Lake","37.103611111111114","-119.30722222222222","5557","","OTHR - Other","","2020-11-03T06:00Z","Southern California","SCE","California","Active","0"
"214","Circle X, Malibu","34.11083333333333","-118.93722222222223","1783","","S&PF - State and Private Forestry","S","2009-07-07T05:00Z","Southern California","Ventura County FD","California","Active","0"
"220","Clark Canyon","36.305277777777775","-115.80833333333334","6080","Site located on both sides of Forest Road 071 approximately 1 mile past junction with Forest Road 601, which leads over Wheeler Pass. Samples should be taken from southerly facing slopes.","USFS - US Forest Service","SW","2010-05-04T05:00Z","Great Basin","Humboldt-Toiyabe NF","Nevada","Active","15"
"222","Clayton Ranch","37.91361111111111","-121.85166666666666","1075","Collection schedule is monthly.","S&PF - State and Private Forestry","S","2011-12-17T06:00Z","Northern California","CalFire Santa Clara Unit","California","Active","30"
"224","Clearlake","38.96","-122.6325","1600","","N/A","S","2020-08-28T05:00Z","Northern California","PGE - NOCC","California","Active","0"
"458","Fog Mtn 2","46.065","-115.29333333333334","3500","","USFS - US Forest Service","S","2021-08-21T05:00Z","Northern Rockies","Nez Perce-Clearwater NF","Idaho","Active","35"
"463","Foresta - Old","37.7025","-119.74472222222222","4400","","NPS - National Park Service","","2013-03-06T06:00Z","Southern California","Yosemite NP","California","Active","0"
"1900","ABD Mesa Chivato","35.5458","-107.2964","8050","","BLM - Bureau of Land Management","null","2025-03-25T06:00Z","Southwest","BLM - Albuquerque District","New Mexico","Active","null"
"43","ASF Little Pine","33.8586","-109.0825","8200","ALP","USFS - US Forest Service","S","2007-04-17T05:00Z","Southwest","USFS - Apache-Sitgreaves NF","Arizona","Active","15"
"462","Foresta - New","37.7025","-119.74472222222222","4400","","NPS - National Park Service","","2013-03-06T06:00Z","Southern California","Yosemite NP","California","Active","0"
"464","Forks","47.95611111111111","-124.38527777777779","300","Located at DNR and USFS co located compound in Forks","S&PF - State and Private Forestry","","2019-07-29T05:00Z","Northwest","NW10 WAS DNR SE","Washington","Active","0"
"466","Fort Rock","43.37027777777778","-120.88222222222221","4338","","BLM - Bureau of Land Management","S","2008-08-21T05:00Z","Northwest","NW12-LFC","Oregon","Active","0"
"467","Fortynine C2A","41.550555555555555","-121.01527777777778","4951","","BLM - Bureau of Land Management","W","2010-08-20T05:00Z","Great Basin","Nevada","Nevada","Active","6"
"468","Fortynine C2A","41.60027777777778","-119.97444444444444","5520","","BLM - Bureau of Land Management","W","2011-07-11T05:00Z","Northern California","BLM -Northern CA District","California","Active","0"
"469","Fouts Springs","39.36833333333333","-122.615","1400","","N/A","S","2021-06-25T05:00Z","Northern California","PGE - NOCC","California","Active","0"
"470","Frazier Park","34.828611111111115","-118.93694444444445","5000","","N/A","S","2020-08-28T05:00Z","Southern California","PGE-SOCC","California","Active","0"
"472","Frazier Park old growth","34.824444444444445","-118.93694444444445","4600","","S&PF - State and Private Forestry","S","2016-06-28T05:00Z","Southern California","Kern County FD","California","Active","15"
"471","Frazier Park new growth","34.824444444444445","-118.93694444444445","4600","","S&PF - State and Private Forestry","S","2016-06-28T05:00Z","Southern California","Kern County FD","California","Active","15"
"244","CNTX_Bosque_TX","31.88361111111111","-97.70555555555556","1000","","S&PF - State and Private Forestry","","2017-04-24T05:00Z","Southern","Texas State Forestry","Texas","Active","0"
"245","CNTX_Brazos_TX","30.551111111111112","-96.24166666666667","268","","S&PF - State and Private Forestry","S","2017-07-05T05:00Z","Southern","Texas State Forestry","Texas","Active","0"
"246","CNTX_Colorado_TX","29.75611111111111","-96.43666666666667","315","","S&PF - State and Private Forestry","S","2013-07-18T05:00Z","Southern","Texas State Forestry","Texas","Active","0"
"247","CNTX_Comal_TX","29.860555555555557","-98.5075","1147","","S&PF - State and Private Forestry","N","2008-08-04T05:00Z","Southern","Texas State Forestry","Texas","Active","0"
"248","CNTX_Gonzales_TX","29.556944444444444","-97.68388888888889","357","","S&PF - State and Private Forestry","","2017-05-17T05:00Z","Southern","Texas State Forestry","Texas","Active","0"
"249","CNTX_Hays_TX","29.934444444444445","-98.08027777777778","1030","","S&PF - State and Private Forestry","S","2013-05-30T05:00Z","Southern","Texas State Forestry","Texas","Active","0"
"250","CNTX_McCl_TX","31.33","-97.47","893","","S&PF - State and Private Forestry","S","2008-08-04T05:00Z","Southern","Texas State Forestry","Texas","Active","0"
"275","COPL_Hidalgo_TX","26.186944444444446","-98.38166666666666","112","","S&PF - State and Private Forestry","","2017-06-06T05:00Z","Southern","Texas State Forestry","Texas","Active","0"
"276","COPL_Jim Wells_TX","27.645","-98.2","276","","S&PF - State and Private Forestry","","2017-06-13T05:00Z","Southern","Texas State Forestry","Texas","Active","0"
"277","COPL_McMullen_TX","28.45","-98.375","220","","S&PF - State and Private Forestry","","2009-02-22T06:00Z","Southern","Texas State Forestry","Texas","Active","0"
"278","COPL_Starr_TX","26.3775","-98.72694444444444","230","","S&PF - State and Private Forestry","","2010-04-15T05:00Z","Southern","Texas State Forestry","Texas","Active","0"
"251","Coastal","33.3875","-117.57416666666666","160","","N/A","S","2016-06-22T05:00Z","Southern California","Camp Pendleton","California","Active","0"
"1066","SCE-Spunky Canyon","34.58527777777778","-118.36027777777777","3019","","OTHR - Other","","2019-11-02T05:00Z","Southern California","SCE","California","Active","0"
"262","Cold Springs","41.83388888888889","-120.34777777777778","5460","Open Ponderosa Pine and Jeffrey Pine stand with primarily bitterbrush and mahogany shrubs in the understory with grass.","USFS - US Forest Service","W","2016-04-27T05:00Z","Northern California","Modoc NF","California","Active","10"
"263","Coleman","42.084722222222226","-119.83666666666666","4593","","BLM - Bureau of Land Management","","2015-06-25T05:00Z","Northwest","NW12-LFC","Oregon","Active","0"
"264","Coleman Ponderosa","47.11972222222222","-120.40277777777779","3100","Ponderosa Pine 60%. Avg. ht. 35 ft. Percent dead 5%. Patchy continuity. Mtn Big Sage 15%, Wild Rose 5%, Snowbrush Ceanothus 5%.","S&PF - State and Private Forestry","NE","2019-06-11T05:00Z","Northwest","NW10 WAS DNR SE","Washington","Active","30"
"265","Coleman Sage","47.08972222222222","-120.39972222222222","2465","60% Basin or Mt Big Sage. 15% Antelope Bitterbrush. 1% Snowbrush. Avg. ht. cover 4 ft. Percent dead 15%. Continuous fuel.","S&PF - State and Private Forestry","S","2019-06-11T05:00Z","Northwest","NW10 WAS DNR SE","Washington","Active","1"
"266","Colgate","44.316944444444445","-121.60638888888889","3280","","BLM - Bureau of Land Management","","2009-09-04T05:00Z","Northwest","NW06-COC","Oregon","Active","0"
"302","Crestview sagebrush old growth","37.73527777777778","-119.00027777777778","7518","","USFS - US Forest Service","","2014-09-12T05:00Z","Southern California","Inyo NF","California","Active","2"
"301","Crestview sagebrush new growth","37.73527777777778","-119.00027777777778","7518","","USFS - US Forest Service","","2014-09-12T05:00Z","Southern California","Inyo NF","California","Active","2"
"267","Combined","37.73527777777778","-119.00027777777778","7518","Crestview sagebrush combined averages","USFS - US Forest Service","","2015-05-12T05:00Z","Southern California","Inyo NF","California","Active","2"
"300","Crestview sagebrush combined averages","37.73527777777778","-119.00027777777778","7518","","USFS - US Forest Service","","2015-08-24T05:00Z","Southern California","Inyo NF","California","Active","2"
"288","Cow Mountain 2","39.12722222222222","-123.11999999999999","1800","","S&PF - State and Private Forestry","NW","2013-06-19T05:00Z","Northern California","CalFire Mendocino Unit","California","Active","20"
"331","D07_Cimarron River","37.120555555555555","-101.9038888888889","3400","along the cimarron river in riparian ecosystem. just west of the bridge north of elkhart. site is dominated by tamarisk and cottonwood.","USFS - US Forest Service","","2008-07-22T05:00Z","Rocky Mountain","PSICC","Kansas","Active","0"
"332","D07_Cimarron South","37.07361111111111","-101.67083333333333","3320","south of river in sandsage ecosystem.","USFS - US Forest Service","N","2008-07-22T05:00Z","Rocky Mountain","PSICC","Kansas","Active","0"
"285","Cottonwood BDF","34.288888888888884","-117.3625","3450","","USFS - US Forest Service","S","2017-04-11T05:00Z","Southern California","San Bernardino NF","California","Active","30"
"287","Cow Mountain","39.12833333333333","-123.10472222222222","2621","","S&PF - State and Private Forestry","W","2010-08-27T05:00Z","Northern California","CalFire Mendocino Unit","California","Active","40"
"293","Crane Flat - Old","37.749722222222225","-119.80583333333333","6200","","NPS - National Park Service","","2013-03-06T06:00Z","Southern California","Yosemite NP","California","Active","0"
"292","Crane Flat - New","37.749722222222225","-119.80583333333333","6200","","NPS - National Park Service","","2013-03-06T06:00Z","Southern California","Yosemite NP","California","Active","0"
"42","ASF Little MC","33.8616","-109.0831","8300","ALP","USFS - US Forest Service","NW","2007-04-17T05:00Z","Southwest","USFS - Apache-Sitgreaves NF","Arizona","Active","25"
"295","Crater Creek","42.973055555555554","-122.32444444444444","4436","","USFS - US Forest Service","E","2021-07-22T05:00Z","Northwest","NW04-RSF","Oregon","Active","0"
"296","CRD Co 12st & Levee","32.65888888888889","-114.75166666666667","145","","BLM - Bureau of Land Management","","2010-10-20T05:00Z","Southwest","BLM - Colorado River District","Arizona","Active","3"
"306","Crow 532","43.808611111111105","-118.95972222222223","5400","Understory dominated by 50% Ceanothus, with PIPO overstory. Site located in MD project area.","USFS - US Forest Service","SW","2020-07-10T05:00Z","Northwest","NW12-BUD","Oregon","Active","10"
"473","Fredericks Butte","43.74583333333334","-120.47777777777777","4560","Sandy, windy site with sparse cover of at least two species of sagebrush, including ARTRV and ARAR8. All types are sampled, no distinction made.","OTHR - Other","W","2021-06-04T05:00Z","Northwest","NW0-7PRD","Oregon","Active","5"
"476","Friend Mountain","40.50527777777778","-123.34333333333333","4418","Ponderosa pine collections are needles for foliar moisture content and do not include woody material.","USFS - US Forest Service","SE","2018-05-16T05:00Z","Northern California","Shasta-Trinity NF","California","Active","15"
"477","Galls Creek","42.35388888888889","-123.07277777777777","2670","","BLM - Bureau of Land Management","SE","2016-06-30T05:00Z","Northwest","NW04-MED","Oregon","Active","15"
"480","Gasquet","41.849722222222226","-124.0075","700","Douglas Fir, 60 feet average tree height, 40% crown cover, Pacific rhododendron, greenleaf Manzanita, whiteleaf Manzanita, evergreen huckleberry, Pacific poison oak, and tanoak with 85-95% ground cover.","USFS - US Forest Service","S","2012-02-17T06:00Z","Northern California","Six Rivers NF","California","Active","10"
"689","Las Posadas State Forest","38.56444444444444","-122.40361111111112","1364","LOCATION IS DUPLICATE, NEEDS TO BE DELEATED ","S&PF - State and Private Forestry","SW","2010-08-25T05:00Z","Northern California","CalFire Lake Napa Unit","California","Inactive","0"
"688","Las Posadas","38.56444444444444","-122.40361111111112","1364","","S&PF - State and Private Forestry","SW","2016-09-13T05:00Z","Northern California","CalFire Lake Napa Unit","California","Active","0"
"690","Las Trampas","37.81666666666667","-122.04555555555555","1300","","N/A","SW","2020-06-15T05:00Z","Northern California","PGE - NOCC","California","Active","0"
"692","Lava Beds Average","41.7075","-121.48472222222222","4650","Lava Beds species sampled are actually Antelope Bitterbrush & Big Sagebrush and were not choices in the NFMD... Desert Bitterbrush & Silver Sagebrush were the closest choices.

Contact Robert Holt 530.226.2811 for link to Lava Beds Plant Checklist","NPS - National Park Service","SW","2012-05-11T05:00Z","Northern California","Lava Beds National Monument","California","Active","0"
"1933","Porter Springs","34.1513","-109.6976","8100","LKS - New Site","USFS - US Forest Service","null","2025-03-24T07:00Z","Southwest","USFS - Apache-Sitgreaves NF","Arizona","Active","null"
